referencia,descripcion,op,cantidad,detalles
IC0063,LEVANTADORA DAMA CON CINTURON,1063,155,"[[""017"",""AZUL INDIGO"",""IC0063"",""S"",13,""9990001071240""],[""017"",""AZUL INDIGO"",""IC0063"",""M"",26,""9990001071257""],[""017"",""AZUL INDIGO"",""IC0063"",""L"",13,""9990001071264""],[""017"",""AZUL INDIGO"",""IC0063"",""XL"",13,""9990001071271""],[""090"",""NEGRO"",""IC0063"",""S"",18,""9990001058579""],[""090"",""NEGRO"",""IC0063"",""M"",36,""9990001058586""],[""090"",""NEGRO"",""IC0063"",""L"",18,""9990001058593""],[""090"",""NEGRO"",""IC0063"",""XL"",18,""9990001058609""]]"
IC0085,BATOLA CORTA DE TIRAS CON ENCAJE EN ESCOTE DELANTERO,1064,266,"[[""017"",""AZUL INDIGO"",""IC0085"",""S"",9,""9990001068516""],[""017"",""AZUL INDIGO"",""IC0085"",""M"",18,""9990001068523""],[""017"",""AZUL INDIGO"",""IC0085"",""L"",18,""9990001068530""],[""017"",""AZUL INDIGO"",""IC0085"",""XL"",18,""9990001068547""],[""090"",""NEGRO"",""IC0085"",""S"",20,""9990001025823""],[""090"",""NEGRO"",""IC0085"",""M"",40,""9990001025830""],[""090"",""NEGRO"",""IC0085"",""L"",40,""9990001025847""],[""090"",""NEGRO"",""IC0085"",""XL"",40,""9990001025854""],[""103"",""OFF WHITE"",""IC0085"",""S"",6,""9990001025861""],[""103"",""OFF WHITE"",""IC0085"",""M"",12,""9990001025878""],[""103"",""OFF WHITE"",""IC0085"",""L"",12,""9990001025885""],[""103"",""OFF WHITE"",""IC0085"",""XL"",12,""9990001025892""],[""150"",""VERDE MENTA"",""IC0085"",""S"",3,""9990001068554""],[""150"",""VERDE MENTA"",""IC0085"",""M"",6,""9990001068561""],[""150"",""VERDE MENTA"",""IC0085"",""L"",6,""9990001068578""],[""150"",""VERDE MENTA"",""IC0085"",""XL"",6,""9990001068585""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1065,710,"[[""057"",""GRIS CLARO"",""DD0001"",""S"",70,""9990001001858""],[""057"",""GRIS CLARO"",""DD0001"",""M"",70,""9990001001865""],[""057"",""GRIS CLARO"",""DD0001"",""L"",105,""9990001001872""],[""057"",""GRIS CLARO"",""DD0001"",""XL"",105,""9990001001889""],[""155"",""VERDE SALVIA"",""DD0001"",""S"",72,""9990001044947""],[""155"",""VERDE SALVIA"",""DD0001"",""M"",72,""9990001044954""],[""155"",""VERDE SALVIA"",""DD0001"",""L"",108,""9990001044961""],[""155"",""VERDE SALVIA"",""DD0001"",""XL"",108,""9990001044978""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1066,650,"[[""067"",""GRIS OSCURO"",""DD0001"",""S"",68,""9990001001896""],[""067"",""GRIS OSCURO"",""DD0001"",""M"",68,""9990001001902""],[""067"",""GRIS OSCURO"",""DD0001"",""L"",102,""9990001001919""],[""067"",""GRIS OSCURO"",""DD0001"",""XL"",102,""9990001001926""],[""104"",""PACIFICO"",""DD0001"",""S"",62,""9990001043018""],[""104"",""PACIFICO"",""DD0001"",""M"",62,""9990001043025""],[""104"",""PACIFICO"",""DD0001"",""L"",93,""9990001043032""],[""104"",""PACIFICO"",""DD0001"",""XL"",93,""9990001043049""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1067,680,"[[""090"",""NEGRO"",""DD0001"",""S"",68,""9990001001773""],[""090"",""NEGRO"",""DD0001"",""M"",68,""9990001001780""],[""090"",""NEGRO"",""DD0001"",""L"",102,""9990001001797""],[""090"",""NEGRO"",""DD0001"",""XL"",102,""9990001001803""],[""109"",""PETROLEO"",""DD0001"",""S"",68,""9990001001933""],[""109"",""PETROLEO"",""DD0001"",""M"",68,""9990001001940""],[""109"",""PETROLEO"",""DD0001"",""L"",102,""9990001001957""],[""109"",""PETROLEO"",""DD0001"",""XL"",102,""9990001001964""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1068,530,"[[""057"",""GRIS CLARO"",""DD0001"",""S"",66,""9990001001858""],[""057"",""GRIS CLARO"",""DD0001"",""M"",66,""9990001001865""],[""057"",""GRIS CLARO"",""DD0001"",""L"",99,""9990001001872""],[""057"",""GRIS CLARO"",""DD0001"",""XL"",99,""9990001001889""],[""155"",""VERDE SALVIA"",""DD0001"",""S"",40,""9990001044947""],[""155"",""VERDE SALVIA"",""DD0001"",""M"",40,""9990001044954""],[""155"",""VERDE SALVIA"",""DD0001"",""L"",60,""9990001044961""],[""155"",""VERDE SALVIA"",""DD0001"",""XL"",60,""9990001044978""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1069,600,"[[""067"",""GRIS OSCURO"",""DD0001"",""S"",56,""9990001001896""],[""067"",""GRIS OSCURO"",""DD0001"",""M"",56,""9990001001902""],[""067"",""GRIS OSCURO"",""DD0001"",""L"",84,""9990001001919""],[""067"",""GRIS OSCURO"",""DD0001"",""XL"",84,""9990001001926""],[""104"",""PACIFICO"",""DD0001"",""S"",64,""9990001043018""],[""104"",""PACIFICO"",""DD0001"",""M"",64,""9990001043025""],[""104"",""PACIFICO"",""DD0001"",""L"",96,""9990001043032""],[""104"",""PACIFICO"",""DD0001"",""XL"",96,""9990001043049""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,1070,650,"[[""090"",""NEGRO"",""DD0001"",""S"",68,""9990001001773""],[""090"",""NEGRO"",""DD0001"",""M"",68,""9990001001780""],[""090"",""NEGRO"",""DD0001"",""L"",102,""9990001001797""],[""090"",""NEGRO"",""DD0001"",""XL"",102,""9990001001803""],[""109"",""PETROLEO"",""DD0001"",""S"",62,""9990001001933""],[""109"",""PETROLEO"",""DD0001"",""M"",62,""9990001001940""],[""109"",""PETROLEO"",""DD0001"",""L"",93,""9990001001957""],[""109"",""PETROLEO"",""DD0001"",""XL"",93,""9990001001964""]]"
D21458,CAMISETA  HOMBRE MANGA CORTA CUELLO REDONDO ENB RIBEN TEJIDO,1071,417,"[[""026"",""BLANCO"",""D21458"",""S"",19,""9990001070601""],[""026"",""BLANCO"",""D21458"",""M"",42,""9990001070618""],[""026"",""BLANCO"",""D21458"",""L"",38,""9990001070625""],[""026"",""BLANCO"",""D21458"",""XL"",38,""9990001070632""],[""072"",""KAKY"",""D21458"",""S"",20,""9990001070649""],[""072"",""KAKY"",""D21458"",""M"",44,""9990001070656""],[""072"",""KAKY"",""D21458"",""L"",40,""9990001070663""],[""072"",""KAKY"",""D21458"",""XL"",40,""9990001070670""],[""090"",""NEGRO"",""D21458"",""S"",19,""9990001070687""],[""090"",""NEGRO"",""D21458"",""M"",41,""9990001070694""],[""090"",""NEGRO"",""D21458"",""L"",38,""9990001070700""],[""090"",""NEGRO"",""D21458"",""XL"",38,""9990001070717""]]"
D21458,CAMISETA  HOMBRE MANGA CORTA CUELLO REDONDO ENB RIBEN TEJIDO,1072,250,"[[""026"",""BLANCO"",""D21458"",""S"",8,""9990001070601""],[""026"",""BLANCO"",""D21458"",""M"",19,""9990001070618""],[""026"",""BLANCO"",""D21458"",""L"",16,""9990001070625""],[""026"",""BLANCO"",""D21458"",""XL"",16,""9990001070632""],[""072"",""KAKY"",""D21458"",""S"",10,""9990001070649""],[""072"",""KAKY"",""D21458"",""M"",22,""9990001070656""],[""072"",""KAKY"",""D21458"",""L"",20,""9990001070663""],[""072"",""KAKY"",""D21458"",""XL"",20,""9990001070670""],[""090"",""NEGRO"",""D21458"",""S"",16,""9990001070687""],[""090"",""NEGRO"",""D21458"",""M"",39,""9990001070694""],[""090"",""NEGRO"",""D21458"",""L"",32,""9990001070700""],[""090"",""NEGRO"",""D21458"",""XL"",32,""9990001070717""]]"
D30330,"CAMISETA NIÑO CUELLO REDONDO EN RIB, CON ESTAMPADO EN DEL",1073,220,"[[""026"",""BLANCO"",""D30330"",""4"",9,""9990001072704""],[""026"",""BLANCO"",""D30330"",""6"",18,""9990001072711""],[""026"",""BLANCO"",""D30330"",""8"",18,""9990001072728""],[""026"",""BLANCO"",""D30330"",""10"",18,""9990001072735""],[""026"",""BLANCO"",""D30330"",""12"",18,""9990001072742""],[""026"",""BLANCO"",""D30330"",""16"",9,""9990001072759""],[""072"",""KAKY"",""D30330"",""4"",9,""9990001072766""],[""072"",""KAKY"",""D30330"",""6"",18,""9990001072773""],[""072"",""KAKY"",""D30330"",""8"",18,""9990001072780""],[""072"",""KAKY"",""D30330"",""10"",18,""9990001072797""],[""072"",""KAKY"",""D30330"",""12"",18,""9990001072803""],[""072"",""KAKY"",""D30330"",""14"",9,""9990001072810""],[""090"",""NEGRO"",""D30330"",""4"",4,""9990001072827""],[""090"",""NEGRO"",""D30330"",""6"",8,""9990001072834""],[""090"",""NEGRO"",""D30330"",""8"",8,""9990001072841""],[""090"",""NEGRO"",""D30330"",""10"",8,""9990001072858""],[""090"",""NEGRO"",""D30330"",""12"",8,""9990001072865""],[""090"",""NEGRO"",""D30330"",""14"",4,""9990001072872""]]"
D30330,"CAMISETA NIÑO CUELLO REDONDO EN RIB, CON ESTAMPADO EN DEL",1074,279,"[[""026"",""BLANCO"",""D30330"",""4"",9,""9990001072704""],[""026"",""BLANCO"",""D30330"",""6"",18,""9990001072711""],[""026"",""BLANCO"",""D30330"",""8"",18,""9990001072728""],[""026"",""BLANCO"",""D30330"",""10"",20,""9990001072735""],[""026"",""BLANCO"",""D30330"",""12"",18,""9990001072742""],[""026"",""BLANCO"",""D30330"",""14"",9,""9990001073770""],[""072"",""KAKY"",""D30330"",""4"",9,""9990001072766""],[""072"",""KAKY"",""D30330"",""6"",18,""9990001072773""],[""072"",""KAKY"",""D30330"",""8"",18,""9990001072780""],[""072"",""KAKY"",""D30330"",""10"",21,""9990001072797""],[""072"",""KAKY"",""D30330"",""12"",18,""9990001072803""],[""072"",""KAKY"",""D30330"",""14"",9,""9990001072810""],[""090"",""NEGRO"",""D30330"",""4"",9,""9990001072827""],[""090"",""NEGRO"",""D30330"",""6"",18,""9990001072834""],[""090"",""NEGRO"",""D30330"",""8"",18,""9990001072841""],[""090"",""NEGRO"",""D30330"",""10"",22,""9990001072858""],[""090"",""NEGRO"",""D30330"",""12"",18,""9990001072865""],[""090"",""NEGRO"",""D30330"",""14"",9,""9990001072872""]]"
UN0983,"CAMISA NIÑO MANGA CORTA CON CUELLO SPORT, CARTERA LARGA",1075,280,"[[""072"",""KAKY"",""UN0983"",""6"",9,""9990001072322""],[""072"",""KAKY"",""UN0983"",""8"",9,""9990001072339""],[""072"",""KAKY"",""UN0983"",""10"",18,""9990001072346""],[""072"",""KAKY"",""UN0983"",""12"",18,""9990001072353""],[""072"",""KAKY"",""UN0983"",""14"",18,""9990001072360""],[""072"",""KAKY"",""UN0983"",""16"",18,""9990001072377""],[""090"",""NEGRO"",""UN0983"",""6"",11,""9990001072384""],[""090"",""NEGRO"",""UN0983"",""8"",11,""9990001072391""],[""090"",""NEGRO"",""UN0983"",""10"",22,""9990001072407""],[""090"",""NEGRO"",""UN0983"",""12"",22,""9990001072414""],[""090"",""NEGRO"",""UN0983"",""14"",22,""9990001072421""],[""090"",""NEGRO"",""UN0983"",""16"",22,""9990001072438""],[""103"",""OFF WHITE"",""UN0983"",""6"",8,""9990001072445""],[""103"",""OFF WHITE"",""UN0983"",""8"",8,""9990001072452""],[""103"",""OFF WHITE"",""UN0983"",""10"",16,""9990001072469""],[""103"",""OFF WHITE"",""UN0983"",""12"",16,""9990001072476""],[""103"",""OFF WHITE"",""UN0983"",""14"",16,""9990001072483""],[""103"",""OFF WHITE"",""UN0983"",""16"",16,""9990001072490""]]"
UN0984,PANTALONETA NIÑO DE BOLSILLOS LATERALES UN POSTERIOR,1076,290,"[[""072"",""KAKY"",""UN0984"",""6"",10,""9990001071905""],[""072"",""KAKY"",""UN0984"",""8"",10,""9990001071912""],[""072"",""KAKY"",""UN0984"",""10"",20,""9990001071929""],[""072"",""KAKY"",""UN0984"",""12"",20,""9990001071936""],[""072"",""KAKY"",""UN0984"",""14"",20,""9990001071943""],[""072"",""KAKY"",""UN0984"",""16"",20,""9990001071950""],[""090"",""NEGRO"",""UN0984"",""6"",10,""9990001071967""],[""090"",""NEGRO"",""UN0984"",""8"",10,""9990001071974""],[""090"",""NEGRO"",""UN0984"",""10"",20,""9990001071981""],[""090"",""NEGRO"",""UN0984"",""12"",20,""9990001071998""],[""090"",""NEGRO"",""UN0984"",""14"",20,""9990001072001""],[""090"",""NEGRO"",""UN0984"",""16"",20,""9990001072018""],[""103"",""OFF WHITE"",""UN0984"",""6"",9,""9990001072025""],[""103"",""OFF WHITE"",""UN0984"",""8"",9,""9990001072032""],[""103"",""OFF WHITE"",""UN0984"",""10"",18,""9990001072049""],[""103"",""OFF WHITE"",""UN0984"",""12"",18,""9990001072056""],[""103"",""OFF WHITE"",""UN0984"",""14"",18,""9990001072063""],[""103"",""OFF WHITE"",""UN0984"",""16"",18,""9990001072070""]]"
805293,BLUSA MANGA CORTA    3 BOTONES EN ESCOTE DELANTERO    LARGA,1078,456,"[[""013"",""AZUL CLARO"",""805293"",""M"",18,""9990001071721""],[""013"",""AZUL CLARO"",""805293"",""L"",27,""9990001071738""],[""013"",""AZUL CLARO"",""805293"",""XL"",27,""9990001071745""],[""072"",""KAKY"",""805293"",""M"",18,""9990001071752""],[""072"",""KAKY"",""805293"",""L"",27,""9990001071769""],[""072"",""KAKY"",""805293"",""XL"",27,""9990001071776""],[""090"",""NEGRO"",""805293"",""M"",18,""9990001071783""],[""090"",""NEGRO"",""805293"",""L"",27,""9990001071790""],[""090"",""NEGRO"",""805293"",""XL"",27,""9990001071806""],[""103"",""OFF WHITE"",""805293"",""M"",26,""9990001071813""],[""103"",""OFF WHITE"",""805293"",""L"",39,""9990001071820""],[""103"",""OFF WHITE"",""805293"",""XL"",39,""9990001071837""],[""155"",""VERDE SALVIA"",""805293"",""M"",18,""9990001071844""],[""155"",""VERDE SALVIA"",""805293"",""L"",27,""9990001071851""],[""155"",""VERDE SALVIA"",""805293"",""XL"",27,""9990001071868""],[""163"",""AVENA"",""805293"",""M"",16,""9990001071875""],[""163"",""AVENA"",""805293"",""L"",24,""9990001071882""],[""163"",""AVENA"",""805293"",""XL"",24,""9990001071899""]]"
700193,PANTALON DAMA    ELASTICO EN PRETINA POSTERIOR    BOLSILLOS,1079,232,"[[""045"",""CRUDO"",""700193"",""16"",30,""9990001086497""],[""045"",""CRUDO"",""700193"",""18"",15,""9990001086503""],[""045"",""CRUDO"",""700193"",""20"",15,""9990001086510""],[""072"",""KAKY"",""700193"",""16"",26,""9990001086527""],[""072"",""KAKY"",""700193"",""18"",13,""9990001086534""],[""072"",""KAKY"",""700193"",""20"",13,""9990001086541""],[""090"",""NEGRO"",""700193"",""16"",30,""9990001086558""],[""090"",""NEGRO"",""700193"",""18"",15,""9990001086565""],[""090"",""NEGRO"",""700193"",""20"",15,""9990001086572""],[""157"",""VINO TINTO"",""700193"",""16"",30,""9990001086589""],[""157"",""VINO TINTO"",""700193"",""18"",15,""9990001086596""],[""157"",""VINO TINTO"",""700193"",""20"",15,""9990001086602""]]"
100005,"COBIJA PELUCHE GRANDE ,MEDIDAS TERMINADA DE 1,75 MT X 1,95 M",1080,301,"[[""026"",""BLANCO"",""100005"",""U"",44,""9990001068394""],[""052"",""FUCSIA"",""100005"",""U"",51,""9990001068400""],[""126"",""ROSADO"",""100005"",""U"",49,""9990001068417""],[""160"",""AZUL"",""100005"",""U"",49,""9990001068424""],[""169"",""BLANCO # 2"",""100005"",""U"",51,""9990001068431""],[""174"",""BLANCO # 3"",""100005"",""U"",57,""9990001068448""]]"
100005,"COBIJA PELUCHE GRANDE ,MEDIDAS TERMINADA DE 1,75 MT X 1,95 M",1081,299,"[[""026"",""BLANCO"",""100005"",""U"",51,""9990001068394""],[""052"",""FUCSIA"",""100005"",""U"",49,""9990001068400""],[""126"",""ROSADO"",""100005"",""U"",49,""9990001068417""],[""160"",""AZUL"",""100005"",""U"",49,""9990001068424""],[""169"",""BLANCO # 2"",""100005"",""U"",51,""9990001068431""],[""174"",""BLANCO # 3"",""100005"",""U"",50,""9990001068448""]]"
803222,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO",1082,423,"[[""026"",""BLANCO"",""803222"",""8"",33,""9990001076061""],[""026"",""BLANCO"",""803222"",""10"",33,""9990001076078""],[""026"",""BLANCO"",""803222"",""12"",33,""9990001076085""],[""052"",""FUCSIA"",""803222"",""8"",36,""9990001076092""],[""052"",""FUCSIA"",""803222"",""10"",36,""9990001076108""],[""052"",""FUCSIA"",""803222"",""12"",36,""9990001076115""],[""160"",""AZUL"",""803222"",""8"",36,""9990001076122""],[""160"",""AZUL"",""803222"",""10"",36,""9990001076139""],[""160"",""AZUL"",""803222"",""12"",36,""9990001076146""],[""169"",""BLANCO # 2"",""803222"",""8"",36,""9990001076153""],[""169"",""BLANCO # 2"",""803222"",""10"",36,""9990001076160""],[""169"",""BLANCO # 2"",""803222"",""12"",36,""9990001076177""]]"
803222,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO",1084,441,"[[""026"",""BLANCO"",""803222"",""8"",72,""9990001076061""],[""026"",""BLANCO"",""803222"",""10"",72,""9990001076078""],[""026"",""BLANCO"",""803222"",""12"",72,""9990001076085""],[""160"",""AZUL"",""803222"",""8"",36,""9990001076122""],[""160"",""AZUL"",""803222"",""10"",36,""9990001076139""],[""160"",""AZUL"",""803222"",""12"",36,""9990001076146""],[""169"",""BLANCO # 2"",""803222"",""8"",39,""9990001076153""],[""169"",""BLANCO # 2"",""803222"",""10"",39,""9990001076160""],[""169"",""BLANCO # 2"",""803222"",""12"",39,""9990001076177""]]"
803222,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO",1085,427,"[[""026"",""BLANCO"",""803222"",""8"",30,""9990001076061""],[""026"",""BLANCO"",""803222"",""10"",35,""9990001076078""],[""026"",""BLANCO"",""803222"",""12"",30,""9990001076085""],[""052"",""FUCSIA"",""803222"",""8"",33,""9990001076092""],[""052"",""FUCSIA"",""803222"",""10"",33,""9990001076108""],[""052"",""FUCSIA"",""803222"",""12"",33,""9990001076115""],[""169"",""BLANCO # 2"",""803222"",""8"",42,""9990001076153""],[""169"",""BLANCO # 2"",""803222"",""10"",47,""9990001076160""],[""169"",""BLANCO # 2"",""803222"",""12"",42,""9990001076177""],[""175"",""FUCSIA # 2"",""803222"",""8"",33,""9990001080761""],[""175"",""FUCSIA # 2"",""803222"",""10"",36,""9990001080778""],[""175"",""FUCSIA # 2"",""803222"",""12"",33,""9990001080785""]]"
803223,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO C",1086,478,"[[""026"",""BLANCO"",""803223"",""6"",22,""9990001099794""],[""026"",""BLANCO"",""803223"",""8"",33,""9990001099800""],[""026"",""BLANCO"",""803223"",""12"",26,""9990001099817""],[""026"",""BLANCO"",""803223"",""16"",33,""9990001099824""],[""052"",""FUCSIA"",""803223"",""6"",24,""9990001099831""],[""052"",""FUCSIA"",""803223"",""8"",36,""9990001099848""],[""052"",""FUCSIA"",""803223"",""12"",26,""9990001099855""],[""052"",""FUCSIA"",""803223"",""16"",36,""9990001099862""],[""160"",""AZUL"",""803223"",""6"",22,""9990001100018""],[""160"",""AZUL"",""803223"",""8"",33,""9990001100025""],[""160"",""AZUL"",""803223"",""12"",24,""9990001100032""],[""160"",""AZUL"",""803223"",""16"",33,""9990001100049""],[""169"",""BLANCO # 2"",""803223"",""6"",26,""9990001099879""],[""169"",""BLANCO # 2"",""803223"",""8"",39,""9990001099886""],[""169"",""BLANCO # 2"",""803223"",""12"",26,""9990001099893""],[""169"",""BLANCO # 2"",""803223"",""16"",39,""9990001099909""]]"
803223,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO C",1087,429,"[[""026"",""BLANCO"",""803223"",""6"",22,""9990001099794""],[""026"",""BLANCO"",""803223"",""8"",33,""9990001099800""],[""026"",""BLANCO"",""803223"",""12"",22,""9990001099817""],[""026"",""BLANCO"",""803223"",""16"",33,""9990001099824""],[""052"",""FUCSIA"",""803223"",""6"",22,""9990001099831""],[""052"",""FUCSIA"",""803223"",""8"",30,""9990001099848""],[""052"",""FUCSIA"",""803223"",""12"",20,""9990001099855""],[""052"",""FUCSIA"",""803223"",""16"",30,""9990001099862""],[""169"",""BLANCO # 2"",""803223"",""6"",27,""9990001099879""],[""169"",""BLANCO # 2"",""803223"",""8"",33,""9990001099886""],[""169"",""BLANCO # 2"",""803223"",""12"",22,""9990001099893""],[""169"",""BLANCO # 2"",""803223"",""16"",33,""9990001099909""],[""175"",""FUCSIA # 2"",""803223"",""6"",22,""9990001099916""],[""175"",""FUCSIA # 2"",""803223"",""8"",30,""9990001099923""],[""175"",""FUCSIA # 2"",""803223"",""12"",20,""9990001099930""],[""175"",""FUCSIA # 2"",""803223"",""16"",30,""9990001099947""]]"
803223,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO C",1088,460,"[[""026"",""BLANCO"",""803223"",""6"",24,""9990001099794""],[""026"",""BLANCO"",""803223"",""8"",36,""9990001099800""],[""026"",""BLANCO"",""803223"",""12"",24,""9990001099817""],[""026"",""BLANCO"",""803223"",""16"",36,""9990001099824""],[""052"",""FUCSIA"",""803223"",""6"",22,""9990001099831""],[""052"",""FUCSIA"",""803223"",""8"",33,""9990001099848""],[""052"",""FUCSIA"",""803223"",""12"",27,""9990001099855""],[""052"",""FUCSIA"",""803223"",""16"",33,""9990001099862""],[""160"",""AZUL"",""803223"",""6"",22,""9990001100018""],[""160"",""AZUL"",""803223"",""8"",33,""9990001100025""],[""160"",""AZUL"",""803223"",""12"",27,""9990001100032""],[""160"",""AZUL"",""803223"",""16"",33,""9990001100049""],[""169"",""BLANCO # 2"",""803223"",""6"",22,""9990001099879""],[""169"",""BLANCO # 2"",""803223"",""8"",33,""9990001099886""],[""169"",""BLANCO # 2"",""803223"",""12"",22,""9990001099893""],[""169"",""BLANCO # 2"",""803223"",""16"",33,""9990001099909""]]"
803223,"CHAQUETA NIÑA, CON CAPUCHA, MANGA LARGA CON PUÑO, BOLSILLO C",1089,430,"[[""026"",""BLANCO"",""803223"",""6"",18,""9990001099794""],[""026"",""BLANCO"",""803223"",""8"",27,""9990001099800""],[""026"",""BLANCO"",""803223"",""12"",18,""9990001099817""],[""026"",""BLANCO"",""803223"",""16"",27,""9990001099824""],[""052"",""FUCSIA"",""803223"",""6"",20,""9990001099831""],[""052"",""FUCSIA"",""803223"",""8"",30,""9990001099848""],[""052"",""FUCSIA"",""803223"",""12"",20,""9990001099855""],[""052"",""FUCSIA"",""803223"",""16"",30,""9990001099862""],[""169"",""BLANCO # 2"",""803223"",""6"",28,""9990001099879""],[""169"",""BLANCO # 2"",""803223"",""8"",42,""9990001099886""],[""169"",""BLANCO # 2"",""803223"",""12"",28,""9990001099893""],[""169"",""BLANCO # 2"",""803223"",""16"",42,""9990001099909""],[""175"",""FUCSIA # 2"",""803223"",""6"",20,""9990001099916""],[""175"",""FUCSIA # 2"",""803223"",""8"",30,""9990001099923""],[""175"",""FUCSIA # 2"",""803223"",""12"",20,""9990001099930""],[""175"",""FUCSIA # 2"",""803223"",""16"",30,""9990001099947""]]"
MB7121,"BLUSAS MANGA SISA TIPO CHALECO, CON CINTURON Y HEBILLA, CON",1090,250,"[[""013"",""AZUL CLARO"",""MB7121"",""S"",10,""9990001095635""],[""013"",""AZUL CLARO"",""MB7121"",""M"",20,""9990001095642""],[""013"",""AZUL CLARO"",""MB7121"",""L"",20,""9990001095659""],[""055"",""GRIS"",""MB7121"",""S"",10,""9990001095666""],[""055"",""GRIS"",""MB7121"",""M"",20,""9990001095673""],[""055"",""GRIS"",""MB7121"",""L"",20,""9990001095680""],[""072"",""KAKY"",""MB7121"",""S"",10,""9990001095697""],[""072"",""KAKY"",""MB7121"",""M"",20,""9990001095703""],[""072"",""KAKY"",""MB7121"",""L"",20,""9990001095710""],[""103"",""OFF WHITE"",""MB7121"",""S"",10,""9990001095727""],[""103"",""OFF WHITE"",""MB7121"",""M"",20,""9990001095734""],[""103"",""OFF WHITE"",""MB7121"",""L"",20,""9990001095741""],[""139"",""VERDE"",""MB7121"",""S"",10,""9990001095758""],[""139"",""VERDE"",""MB7121"",""M"",20,""9990001095765""],[""139"",""VERDE"",""MB7121"",""L"",20,""9990001095772""]]"
MC8233,"CONJUNTO DE FALDA CON PRENSES Y SHORT,LLEVA BLUSA MANGA SISA",1091,243,"[[""013"",""AZUL CLARO"",""MC8233"",""S"",17,""9990001102067""],[""013"",""AZUL CLARO"",""MC8233"",""M"",17,""9990001102074""],[""013"",""AZUL CLARO"",""MC8233"",""L"",17,""9990001102081""],[""055"",""GRIS"",""MC8233"",""S"",14,""9990001102098""],[""055"",""GRIS"",""MC8233"",""M"",14,""9990001102104""],[""055"",""GRIS"",""MC8233"",""L"",14,""9990001102111""],[""072"",""KAKY"",""MC8233"",""S"",19,""9990001102128""],[""072"",""KAKY"",""MC8233"",""M"",19,""9990001102135""],[""072"",""KAKY"",""MC8233"",""L"",19,""9990001102142""],[""103"",""OFF WHITE"",""MC8233"",""S"",18,""9990001102159""],[""103"",""OFF WHITE"",""MC8233"",""M"",19,""9990001102166""],[""103"",""OFF WHITE"",""MC8233"",""L"",18,""9990001102173""],[""139"",""VERDE"",""MC8233"",""S"",12,""9990001102180""],[""139"",""VERDE"",""MC8233"",""M"",14,""9990001102197""],[""139"",""VERDE"",""MC8233"",""L"",12,""9990001102203""]]"
CJ0132,CONJUNTO DE SHORT Y CROP TOP DE TIRAS,1092,252,"[[""022"",""AZULTURQUI"",""CJ0132"",""S"",18,""9990001096564""],[""022"",""AZULTURQUI"",""CJ0132"",""M"",18,""9990001096571""],[""022"",""AZULTURQUI"",""CJ0132"",""L"",18,""9990001096588""],[""072"",""KAKY"",""CJ0132"",""S"",32,""9990001096595""],[""072"",""KAKY"",""CJ0132"",""M"",32,""9990001096601""],[""072"",""KAKY"",""CJ0132"",""L"",32,""9990001096618""],[""103"",""OFF WHITE"",""CJ0132"",""S"",34,""9990001096625""],[""103"",""OFF WHITE"",""CJ0132"",""M"",34,""9990001096632""],[""103"",""OFF WHITE"",""CJ0132"",""L"",34,""9990001096649""]]"
D21230,"SUDADERA HOMBRE CON BOLSILLOS EN DELANTERO Y POSTERIOR, VI",1093,264,"[[""057"",""GRIS CLARO"",""D21230"",""32"",16,""9990001072506""],[""057"",""GRIS CLARO"",""D21230"",""34"",32,""9990001072513""],[""057"",""GRIS CLARO"",""D21230"",""36"",32,""9990001072520""],[""057"",""GRIS CLARO"",""D21230"",""38"",16,""9990001072537""],[""090"",""NEGRO"",""D21230"",""32"",14,""9990001072247""],[""090"",""NEGRO"",""D21230"",""34"",28,""9990001072254""],[""090"",""NEGRO"",""D21230"",""36"",28,""9990001072261""],[""090"",""NEGRO"",""D21230"",""38"",14,""9990001072278""],[""109"",""PETROLEO"",""D21230"",""32"",14,""9990001072544""],[""109"",""PETROLEO"",""D21230"",""34"",28,""9990001072551""],[""109"",""PETROLEO"",""D21230"",""36"",28,""9990001072568""],[""109"",""PETROLEO"",""D21230"",""38"",14,""9990001072575""]]"
