referencia,descripcion,op,cantidad,detalles
MB3736,BLUSA DAMA DE TIRAS TIPO HALTER    SESGADA,29,312,"[[""026"",""BLANCO"",""MB3736"",""S"",36,""9990001002787""],[""026"",""BLANCO"",""MB3736"",""M"",36,""9990001002794""],[""026"",""BLANCO"",""MB3736"",""L"",36,""9990001002800""],[""090"",""NEGRO"",""MB3736"",""S"",34,""9990001002817""],[""090"",""NEGRO"",""MB3736"",""M"",34,""9990001002824""],[""090"",""NEGRO"",""MB3736"",""L"",34,""9990001002831""],[""105"",""PALO DE ROSA"",""MB3736"",""S"",34,""9990001002848""],[""105"",""PALO DE ROSA"",""MB3736"",""M"",34,""9990001002855""],[""105"",""PALO DE ROSA"",""MB3736"",""L"",34,""9990001002862""]]"
MB3738,CROP TOP DAMA DE TIRAS TIPO HALTER    CON FAJON EN RUEDO,30,300,"[[""026"",""BLANCO"",""MB3738"",""S"",36,""9990001037437""],[""026"",""BLANCO"",""MB3738"",""M"",36,""9990001037444""],[""026"",""BLANCO"",""MB3738"",""L"",36,""9990001037451""],[""090"",""NEGRO"",""MB3738"",""S"",32,""9990001037468""],[""090"",""NEGRO"",""MB3738"",""M"",32,""9990001037475""],[""090"",""NEGRO"",""MB3738"",""L"",32,""9990001037482""],[""105"",""PALO DE ROSA"",""MB3738"",""S"",32,""9990001037499""],[""105"",""PALO DE ROSA"",""MB3738"",""M"",32,""9990001037505""],[""105"",""PALO DE ROSA"",""MB3738"",""L"",32,""9990001037512""]]"
MB3734,BLUSA DAMA MANGA SISA    ESCOTE REDONDO    SESGADA,31,312,"[[""026"",""BLANCO"",""MB3734"",""S"",36,""9990001036317""],[""026"",""BLANCO"",""MB3734"",""M"",36,""9990001036324""],[""026"",""BLANCO"",""MB3734"",""L"",36,""9990001036331""],[""090"",""NEGRO"",""MB3734"",""S"",34,""9990001036379""],[""090"",""NEGRO"",""MB3734"",""M"",34,""9990001036386""],[""090"",""NEGRO"",""MB3734"",""L"",34,""9990001036393""],[""105"",""PALO DE ROSA"",""MB3734"",""S"",34,""9990001036409""],[""105"",""PALO DE ROSA"",""MB3734"",""M"",34,""9990001036416""],[""105"",""PALO DE ROSA"",""MB3734"",""L"",34,""9990001036423""]]"
D21366,DUO CAMISETA HOMBRE M/C CUELLO REDONDO EN TEJIDO DE PUNTO DE,36,530,"[[""022"",""AZULTURQUI"",""D21366"",""S"",20,""9990001127770""],[""022"",""AZULTURQUI"",""D21366"",""M"",60,""9990001127787""],[""022"",""AZULTURQUI"",""D21366"",""L"",60,""9990001127794""],[""022"",""AZULTURQUI"",""D21366"",""XL"",60,""9990001127800""],[""057"",""GRIS CLARO"",""D21366"",""S"",20,""9990001053994""],[""057"",""GRIS CLARO"",""D21366"",""M"",60,""9990001054007""],[""057"",""GRIS CLARO"",""D21366"",""L"",60,""9990001054014""],[""057"",""GRIS CLARO"",""D21366"",""XL"",60,""9990001054021""],[""067"",""GRIS OSCURO"",""D21366"",""S"",13,""9990001121525""],[""067"",""GRIS OSCURO"",""D21366"",""M"",39,""9990001121532""],[""067"",""GRIS OSCURO"",""D21366"",""L"",39,""9990001121549""],[""067"",""GRIS OSCURO"",""D21366"",""XL"",39,""9990001121556""]]"
MY0281,PANTALON PIJAMA EN TELA PELUCHE,47,378,"[[""026"",""BLANCO"",""MY0281"",""S"",17,""9990001002664""],[""026"",""BLANCO"",""MY0281"",""M"",34,""9990001002671""],[""026"",""BLANCO"",""MY0281"",""L"",34,""9990001002688""],[""026"",""BLANCO"",""MY0281"",""XL"",34,""9990001002695""],[""055"",""GRIS"",""MY0281"",""S"",16,""9990001002701""],[""055"",""GRIS"",""MY0281"",""M"",32,""9990001002718""],[""055"",""GRIS"",""MY0281"",""L"",32,""9990001002725""],[""055"",""GRIS"",""MY0281"",""XL"",32,""9990001002732""],[""169"",""BLANCO # 2"",""MY0281"",""S"",21,""9990001002749""],[""169"",""BLANCO # 2"",""MY0281"",""M"",42,""9990001002756""],[""169"",""BLANCO # 2"",""MY0281"",""L"",42,""9990001002763""],[""169"",""BLANCO # 2"",""MY0281"",""XL"",42,""9990001002770""]]"
MY0277,PIJAMA PANTALON DAMA    BLUSA MANGA LARGA CUELLO REDONDO,48,315,"[[""026"",""BLANCO"",""MY0277"",""S"",9,""9990001010386""],[""026"",""BLANCO"",""MY0277"",""M"",18,""9990001010393""],[""026"",""BLANCO"",""MY0277"",""L"",18,""9990001010409""],[""026"",""BLANCO"",""MY0277"",""XL"",18,""9990001010416""],[""055"",""GRIS"",""MY0277"",""S"",9,""9990001010461""],[""055"",""GRIS"",""MY0277"",""M"",18,""9990001010478""],[""055"",""GRIS"",""MY0277"",""L"",18,""9990001010485""],[""055"",""GRIS"",""MY0277"",""XL"",18,""9990001010492""],[""075"",""LILA"",""MY0277"",""S"",9,""9990001010508""],[""075"",""LILA"",""MY0277"",""M"",18,""9990001010515""],[""075"",""LILA"",""MY0277"",""L"",18,""9990001010522""],[""075"",""LILA"",""MY0277"",""XL"",18,""9990001010539""],[""169"",""BLANCO # 2"",""MY0277"",""S"",9,""9990001010584""],[""169"",""BLANCO # 2"",""MY0277"",""M"",18,""9990001010591""],[""169"",""BLANCO # 2"",""MY0277"",""L"",18,""9990001010607""],[""169"",""BLANCO # 2"",""MY0277"",""XL"",18,""9990001010614""],[""174"",""BLANCO # 3"",""MY0277"",""S"",9,""9990001010621""],[""174"",""BLANCO # 3"",""MY0277"",""M"",18,""9990001010638""],[""174"",""BLANCO # 3"",""MY0277"",""L"",18,""9990001010645""],[""174"",""BLANCO # 3"",""MY0277"",""XL"",18,""9990001010652""]]"
MV2146,VESTIDO CORTO MANGA RODADA CON PUÑOS    CON BOLSILLOS    CAT,57,504,"[[""072"",""KAKY"",""MV2146"",""S"",21,""9990001069780""],[""072"",""KAKY"",""MV2146"",""M"",63,""9990001069797""],[""072"",""KAKY"",""MV2146"",""L"",42,""9990001069803""],[""072"",""KAKY"",""MV2146"",""XL"",42,""9990001069810""],[""090"",""NEGRO"",""MV2146"",""S"",21,""9990001035624""],[""090"",""NEGRO"",""MV2146"",""M"",63,""9990001035631""],[""090"",""NEGRO"",""MV2146"",""L"",42,""9990001035648""],[""090"",""NEGRO"",""MV2146"",""XL"",42,""9990001035655""],[""155"",""VERDE SALVIA"",""MV2146"",""S"",21,""9990001030674""],[""155"",""VERDE SALVIA"",""MV2146"",""M"",63,""9990001030681""],[""155"",""VERDE SALVIA"",""MV2146"",""L"",42,""9990001030698""],[""155"",""VERDE SALVIA"",""MV2146"",""XL"",42,""9990001030704""]]"
MV2146,VESTIDO CORTO MANGA RODADA CON PUÑOS    CON BOLSILLOS    CAT,58,504,"[[""038"",""CAMEL"",""MV2146"",""S"",21,""9990001030599""],[""038"",""CAMEL"",""MV2146"",""M"",63,""9990001030605""],[""038"",""CAMEL"",""MV2146"",""L"",42,""9990001030612""],[""038"",""CAMEL"",""MV2146"",""XL"",42,""9990001030629""],[""072"",""KAKY"",""MV2146"",""S"",21,""9990001069780""],[""072"",""KAKY"",""MV2146"",""M"",63,""9990001069797""],[""072"",""KAKY"",""MV2146"",""L"",42,""9990001069803""],[""072"",""KAKY"",""MV2146"",""XL"",42,""9990001069810""],[""155"",""VERDE SALVIA"",""MV2146"",""S"",21,""9990001030674""],[""155"",""VERDE SALVIA"",""MV2146"",""M"",63,""9990001030681""],[""155"",""VERDE SALVIA"",""MV2146"",""L"",42,""9990001030698""],[""155"",""VERDE SALVIA"",""MV2146"",""XL"",42,""9990001030704""]]"
MD0352,BODY DAMA    MANGA SISA    ESCOTE REDONDO    TEJIDO DE PUNTO,59,400,"[[""072"",""KAKY"",""MD0352"",""S"",32,""9990001096779""],[""072"",""KAKY"",""MD0352"",""M"",64,""9990001096786""],[""072"",""KAKY"",""MD0352"",""L"",32,""9990001096793""],[""090"",""NEGRO"",""MD0352"",""S"",34,""9990001096809""],[""090"",""NEGRO"",""MD0352"",""M"",68,""9990001096816""],[""090"",""NEGRO"",""MD0352"",""L"",34,""9990001096823""],[""103"",""OFF WHITE"",""MD0352"",""S"",34,""9990001096830""],[""103"",""OFF WHITE"",""MD0352"",""M"",68,""9990001096847""],[""103"",""OFF WHITE"",""MD0352"",""L"",34,""9990001096854""]]"
MP3132,PANTALON CON BOLSILLOS    ELASTICO EN PRETINA    TIRA EN PRE,61,448,"[[""038"",""CAMEL"",""MP3132"",""10"",60,""9990001069599""],[""038"",""CAMEL"",""MP3132"",""12"",60,""9990001069605""],[""038"",""CAMEL"",""MP3132"",""14"",40,""9990001069612""],[""072"",""KAKY"",""MP3132"",""10"",48,""9990001036621""],[""072"",""KAKY"",""MP3132"",""12"",48,""9990001036638""],[""072"",""KAKY"",""MP3132"",""14"",32,""9990001036645""],[""090"",""NEGRO"",""MP3132"",""10"",60,""9990001036652""],[""090"",""NEGRO"",""MP3132"",""12"",60,""9990001036669""],[""090"",""NEGRO"",""MP3132"",""14"",40,""9990001036676""]]"
